"Target","Comparison","Control.Non.Lesional","IBD.Lesional"
"C1r","IBD.Lesional",0.022151765308412792,NA
"C1r","IBD.Non Lesional",1,0.013866527689530093
"C6","IBD.Non Lesional",1,0.04379131660979288
"C5aR2","IBD.Lesional",8.774733512364697e-4,NA
"C5aR2","IBD.Non Lesional",0.034551774212628894,0.009437795805833357
"CFB","IBD.Lesional",3.084685944868757e-4,NA
"CFB","IBD.Non Lesional",0.02573324765709422,0.5407868082621248
"C4BP","IBD.Lesional",4.5321631987976243e-4,NA
"C4BP","IBD.Non Lesional",0.24899249054097752,8.677034064247494e-4
"CR4","IBD.Lesional",5.635643716603237e-4,NA
"CR4","IBD.Non Lesional",0.217159813541414,0.033837144455889964
