"Target","Control Non Lesional","IBD Non Lesional","IBD Lesional"
"C1q_alpha","1780.47 ± 3090.32","3587.42 ± 6955.82","6982.24 ± 8047.84"
"C1r","1000.44 ± 3441.87","1239.47 ± 8366.3","4488.31 ± 19431.45"
"C1s_alpha","6.18 ± 14.22","10.6 ± 20.13","16.98 ± 26.4"
"C2","0.3 ± 0.38","0.43 ± 0.98","0.56 ± 0.85"
"C3","0.04 ± 0.08","0.04 ± 0.17","0.08 ± 0.12"
"C3aR1","31.24 ± 24.55","40.84 ± 33.39","42.5 ± 32.71"
"C4","0.02 ± 0.02","0.05 ± 0.11","0.07 ± 0.13"
"C4BP","0 ± 0.02","0.02 ± 0.04","0.18 ± 0.53"
"C5","0.85 ± 1.6","0.93 ± 1.2","1.01 ± 0.47"
"C5aR1","4.83 ± 2.6","6.87 ± 7.24","9.6 ± 6.73"
"C5aR2","0.03 ± 0.06","0.1 ± 0.1","0.19 ± 0.23"
"C6","2.95 ± 31.2","8.33 ± 25.34","0.29 ± 6.83"
"C7","6.7 ± 48.78","46.67 ± 123.3","8.12 ± 34.37"
"C8_alpha","0 ± 0","0 ± 0.01","0 ± 0"
"C9","46.8 ± 364.08","333.1 ± 2763.83","539.71 ± 2569.07"
"CD46","1.2 ± 0.31","1.34 ± 0.49","1.01 ± 0.64"
"CD59","10.22 ± 16.98","22.09 ± 18.77","21.21 ± 20.97"
"CFB","0.35 ± 0.55","0.9 ± 0.92","1.09 ± 1.12"
"CFH","1.72 ± 1.5","1.33 ± 1.43","1.59 ± 1.54"
"CFP","0.49 ± 0.49","0.7 ± 1.48","1.51 ± 1.28"
"CR1","7.77 ± 14.83","9.72 ± 49.94","16.89 ± 12.38"
"CR2","1.79 ± 5.2","1.25 ± 18.17","1.58 ± 4.06"
"CR3","0.31 ± 0.46","0.38 ± 0.53","0.44 ± 0.57"
"CR4","0 ± 0.01","0.01 ± 0.02","0.02 ± 0.03"
"VSIG4","11.27 ± 13.12","11.36 ± 15.83","11.36 ± 9.62"
